Model,Parameter,PriorPDF,PriorMean,PriorStd,PriorCoV,PosteriorPDF,PosteriorMean,PosteriorStd,PosteriorCoV,PosteriorMedian,PosteriorP2p5,PosteriorP97p5,AIC_Normal,AIC_Lognormal
fib,Racc_inv,Lognormal,9.8e-11,4.116e-11,0.42,Lognormal,1.23462698060068e-10,5.45272018940824e-11,0.44164920053467,1.1285531524194e-10,4.88523060482647e-11,2.59890384756783e-10,-4442673.57764994,-4468977.31012665
fib,kt,Lognormal,1.25,0.275,0.22,Lognormal,1.34089619891948,0.300454338272506,0.224069796390368,1.30715279548479,0.840969291526262,2.01282130736891,43298.808829541,36389.7744833237
fib,eps_t,Gaussian,1e-11,1.52e-12,0.152,Normal,9.99201561116741e-12,1.50016449240435e-12,0.150136323919241,9.99516688310726e-12,7.03277376279065e-12,1.28790544961479e-11,-5161298.56380504,-5156963.73605911
fib,tc,Uniform,2,0.578,0.289,Lognormal,1.79758703919856,0.579651120140239,0.322460669497635,1.70277811955037,1.01689217316623,2.94476961894597,174724.931955896,165289.910287477
fib,bc,Gaussian,-0.567,0.023814,0.042,Normal,-0.56880531176731,0.0237891307520722,0.0418229757351563,-0.568739794750847,-0.615792251022164,-0.523293998411396,-463914.592100915,NaN
fib,CO2ppm,Gaussian,392,3.528,0.009,Normal,392.013345794794,3.39483738233854,0.0086600046114645,392.00016587997,385.351887913895,398.696650297107,528241.878780845,528270.606395426
fib,RH,Gaussian,75.6,2.646,0.035,Normal,75.31228534974,2.60048098581503,0.034529306523348,75.2846848586222,70.2297550528943,80.5303787587791,474929.991133394,475041.005427515
fib,tw,Gaussian,0.156,0.01794,0.115,Normal,0.155048102067544,0.0182179468214435,0.117498676723609,0.155066706698653,0.118754298186391,0.190648070334123,-517278.909694176,-514954.384603059
fib,bw,Gaussian,0.446,0.16279,0.365,Normal,0.529992489981465,0.147091465479277,0.277534999570316,0.528381599455701,0.246256836794407,0.82554139038546,-99549.4276697902,-84833.8359437727
fib,pSR,Uniform,0.146,0.0584,0.4,Lognormal,0.133358362501498,0.0583358051296518,0.437436423448861,0.126779105471677,0.0490402579785199,0.239897261785056,-284517.137553725,-288236.161258867
fib,theta_xc,Gaussian,1,0.2,0.2,Normal,1.1032368563405,0.191766834814136,0.173821998161154,1.1069774951195,0.715628325012675,1.47625447832513,-46504.3027486088,-39296.1578992165
fib,xc42,Derived/not prior,NaN,NaN,NaN,Normal,14.5501343521351,5.19172034543111,0.356815972951429,14.0529497394187,5.50045992368544,25.6002312482118,613203.729713102,618433.135025377
fib,A,Derived/not prior,NaN,NaN,NaN,Lognormal,2.62417508198976,0.680637304653712,0.259371910557745,2.55926545035111,1.46992313906959,4.11617931810709,206845.56524182,202920.094248748
fib,n,Derived/not prior,NaN,NaN,NaN,Lognormal,0.073185348015345,0.0469340592722949,0.641304038923939,0.0623257627244653,0.0153185161199906,0.194462781289575,-328011.624678357,-366306.828181776
malami,W_C,Gaussian,0.55,0.055,0.1,Normal,0.571422161380158,0.0527112751299811,0.0922457662521652,0.571598284279453,0.465291678114729,0.672931857819333,-304794.472755708,-302875.598000792
malami,tc,Uniform,2,0.577350269189626,0.288675134594813,Lognormal,1.88880199696603,0.558910469656002,0.295907390268421,1.83156778128667,1.04088742238884,2.91680468908897,167437.510586645,164471.707517244
malami,bc,Gaussian,-0.567,0.023814,0.042,Normal,-0.567794284473682,0.0232957479170837,0.0410285002052772,-0.567601253205145,-0.613548149533208,-0.522262140725197,-468106.178937736,NaN
malami,CO2ppm,Gaussian,392,3.528,0.009,Normal,392.228913874316,3.47522349966403,0.00886019203769772,392.222540914753,385.471685414487,399.045102812658,532922.465320659,532939.008447837
malami,RH,Gaussian,75.6,2.646,0.035,Normal,75.1638275381721,2.59770401154432,0.0345605605332574,75.1504548978558,70.0016322476398,80.141839502778,474716.303122191,475046.465020661
malami,tw,Gaussian,0.156,0.01794,0.115,Normal,0.15428419486602,0.0182358450973117,0.118196456306803,0.15415542872333,0.118561511646047,0.190059633556488,-517082.515559417,-515146.914811277
malami,bw,Gaussian,0.446,0.16279,0.365,Normal,0.534511230782478,0.140147861302945,0.26219816017295,0.528970709573864,0.271691631977286,0.825306564710066,-109220.745668116,-103640.274812226
malami,pSR,Uniform,0.146,0.0584,0.4,Lognormal,0.131497825466061,0.0576893045228251,0.438709190196566,0.12442965576371,0.0475800105951606,0.237586229143025,-286745.99060025,-290915.355037624
malami,T,Gaussian,283.25,0.5665,0.002,Lognormal,283.189002434843,0.530827460690698,0.00187446354246342,283.187215737766,282.149731402293,284.244627048433,157127.0579753,157120.791727746
malami,theta_xc,Gaussian,1,0.2,0.2,Normal,1.08454291276062,0.192650281000754,0.177632695519974,1.08457874631782,0.714784735275884,1.46323533029409,-45585.0432197527,-39719.1160542804
